,customer_key,gender,name,city,state_code,state,zip_code,country,continent,birthday
0,301,Female,Lilly Harding,Wandearah East,SA,South Australia,5523,Australia,Australia,1939-07-03
1,325,Female,Madison Hull,Mount Budd,WA,Western Australia,6522,Australia,Australia,1979-09-27
2,554,Female,Claire Ferres,Winjallok,VIC,Victoria,3380,Australia,Australia,1947-05-26
3,786,Male,Jai Poltpalingada,Middle River,SA,South Australia,5223,Australia,Australia,1957-09-17
4,1042,Male,Aidan Pankhurst,Tawonga South,VIC,Victoria,3698,Australia,Australia,1965-11-19
5,1086,Male,Hayden Clegg,Templers,SA,South Australia,5371,Australia,Australia,1954-01-20
6,1133,Male,Nicholas Caffyn,Jubilee Pocket,QLD,Queensland,4802,Australia,Australia,1969-11-22
7,1256,Male,Lincoln Jenks,Kullogum,QLD,Queensland,4660,Australia,Australia,1950-03-12
8,1314,Male,Isaac Israel,Edith River,NT,Northern Territory,852,Australia,Australia,1965-12-21
9,1568,Male,Luke Virtue,Kotta,VIC,Victoria,3565,Australia,Australia,1975-07-25
10,1585,Female,Anna Hallstrom,Green Lake,VIC,Victoria,3401,Australia,Australia,1990-08-12
11,1626,Female,Mary Leach,Neds Corner,VIC,Victoria,3496,Australia,Australia,1985-10-17
12,1642,Female,Ruby Ambrose,Tarlo,NSW,New South Wales,2580,Australia,Australia,1965-03-03
13,1677,Male,Dean Innes,Ellesmere,QLD,Queensland,4610,Australia,Australia,1964-11-22
14,1817,Female,Laura Le Rennetel,Beauchamp,VIC,Victoria,3579,Australia,Australia,1986-07-10
15,1863,Female,Chelsea Watkins,Nambour Dc,QLD,Queensland,4560,Australia,Australia,1984-09-22
16,1945,Male,Angus Beaurepaire,Greenfields,WA,Western Australia,6210,Australia,Australia,1974-09-20
17,2238,Female,Isabelle Cochran,Brucknell,VIC,Victoria,3268,Australia,Australia,1969-10-31
18,2248,Male,Rory Spargo,Jung,VIC,Victoria,3401,Australia,Australia,1987-12-15
19,2435,Female,Lilian Hall,Blakebrook,NSW,New South Wales,2480,Australia,Australia,1968-04-01
20,2469,Female,Phoebe Kneeshaw,Bidwill,QLD,Queensland,4650,Australia,Australia,1948-05-20
21,2512,Female,Matilda Hake,Bunkers Hill,VIC,Victoria,3352,Australia,Australia,1992-11-13
22,2604,Female,Claudia Davison,Kubin Village,QLD,Queensland,4875,Australia,Australia,1995-04-08
23,2751,Male,Nate Lowes,Callide,QLD,Queensland,4715,Australia,Australia,1979-08-20
24,2792,Male,Zachary Perkin,Bamganie,VIC,Victoria,3333,Australia,Australia,1976-08-25
25,2836,Male,Nicholas Shand,Gordonbrook,QLD,Queensland,4610,Australia,Australia,1959-02-23
26,3002,Male,Joshua Aronson,Smithton,TAS,Tasmania,7330,Australia,Australia,2000-11-08
27,3006,Female,Alica Stuckey,Hartley,NSW,New South Wales,2790,Australia,Australia,1943-01-13
28,3203,Male,Aidan Kane,Argenton,NSW,New South Wales,2284,Australia,Australia,1998-08-18
29,3270,Male,Hunter Templeton,Central Tilba,NSW,New South Wales,2546,Australia,Australia,1948-05-02
30,3327,Female,Alannah Le Messurier,Konongwootong,VIC,Victoria,3315,Australia,Australia,1948-04-28
31,3410,Male,Will Armitage,Bollon,QLD,Queensland,4488,Australia,Australia,1950-05-12
32,3575,Male,Noah McFarland,Hoppers Crossing,VIC,Victoria,3029,Australia,Australia,1942-03-04
33,3964,Female,Rose Code,Dixie,VIC,Victoria,3265,Australia,Australia,1944-02-16
34,4004,Female,Piper Wrixon,Wyalla Plaza,QLD,Queensland,4350,Australia,Australia,1995-06-24
35,4174,Female,Rebecca Yelverton,Ocean Reef,WA,Western Australia,6027,Australia,Australia,1990-10-05
36,4633,Female,Victoria Brown,Keysland,QLD,Queensland,4612,Australia,Australia,1964-01-08
37,4734,Male,Justin Felan,Parmelia,WA,Western Australia,6167,Australia,Australia,1946-02-13
38,4808,Male,Jamie Evenden,Haywards Bay,NSW,New South Wales,2530,Australia,Australia,1944-06-28
39,4811,Male,Brayden Bulcock,Widgiemooltha,WA,Western Australia,6443,Australia,Australia,1994-12-21
40,5097,Female,Bella Foley,Mount Pleasant,QLD,Queensland,4740,Australia,Australia,1942-11-13
41,5445,Male,Jake Clibborn,Reefton,VIC,Victoria,3799,Australia,Australia,1952-09-10
42,5962,Male,Aiden Dugdale,Swan Bay,NSW,New South Wales,2324,Australia,Australia,1938-11-17
43,6193,Female,Lara Cassidy,Regency Park,SA,South Australia,5010,Australia,Australia,1945-12-27
44,6242,Male,Cody Grosse,Koomberkine,WA,Western Australia,6461,Australia,Australia,1964-02-10
45,6258,Male,Zac Hull,Sandford,VIC,Victoria,3312,Australia,Australia,1976-07-03
46,6308,Male,Taj Sexton,Kooreh,VIC,Victoria,3478,Australia,Australia,2001-02-15
47,6459,Male,Mitchell Leigh,Keilor Downs,VIC,Victoria,3038,Australia,Australia,1942-05-24
48,6794,Female,Abby Hyam,Calder,TAS,Tasmania,7325,Australia,Australia,1971-02-06
49,7109,Male,Hamish Bolton,Lankeys Creek,NSW,New South Wales,2644,Australia,Australia,1979-11-15
50,7122,Female,Lara Virtue,Higginsville,WA,Western Australia,6443,Australia,Australia,1999-08-13
51,7313,Female,Chelsea Keast,Kanmantoo,SA,South Australia,5252,Australia,Australia,1990-01-26
52,7398,Male,Jonathan Thorpe,Cooee Bay,QLD,Queensland,4703,Australia,Australia,1945-06-10
53,7493,Male,Declan Torrens,Noorindoo,QLD,Queensland,4417,Australia,Australia,1978-07-20
54,7494,Male,Ben Coventry,Hyde Park,QLD,Queensland,4812,Australia,Australia,1967-04-02
55,7566,Male,William Prenzel,Killara,VIC,Victoria,3691,Australia,Australia,1993-07-01
56,7664,Male,Riley Gaffney,Canowie,SA,South Australia,5419,Australia,Australia,1947-03-18
57,7700,Male,Lucas Keenan,Stanwell Tops,NSW,New South Wales,2508,Australia,Australia,1975-01-27
58,7725,Female,Anna Prerauer,Currimundi,QLD,Queensland,4551,Australia,Australia,1968-01-06
59,7783,Female,Charli Gullett,Mount Wallace,VIC,Victoria,3342,Australia,Australia,1961-08-13
60,8098,Female,Alana Belt,South Greenough,WA,Western Australia,6528,Australia,Australia,1967-01-26
61,8181,Female,Amelie Nairn,Dartmouth,VIC,Victoria,3701,Australia,Australia,1985-07-08
62,8220,Male,David Blanch,Vista,SA,South Australia,5091,Australia,Australia,1945-07-29
63,8789,Female,Layla Mackellar,Kalkarindji,NT,Northern Territory,852,Australia,Australia,1999-07-13
64,8794,Female,Abbey Lempriere,Boulder Creek,QLD,Queensland,4714,Australia,Australia,1962-11-02
65,8945,Female,Summer MacMahon,Warumbul,NSW,New South Wales,2229,Australia,Australia,1939-06-28
66,9167,Male,Luke Bushby,Paracombe,SA,South Australia,5132,Australia,Australia,1975-12-02
67,9184,Male,Sam Zimpel,Corunnun,VIC,Victoria,3249,Australia,Australia,1964-11-24
68,9360,Male,Mitchell Adam,Moparrabah,NSW,New South Wales,2440,Australia,Australia,1955-01-30
69,9370,Female,Ruby Lock,Cook,ACT,Australian Capital Territory,2614,Australia,Australia,1953-05-26
70,9389,Female,Eliza Brophy,Yearinan,NSW,New South Wales,2357,Australia,Australia,1956-04-08
71,9456,Male,Ryder Abdullah,Claredale,QLD,Queensland,4807,Australia,Australia,1941-05-21
72,9812,Female,Kaitlyn Morshead,Minjary,NSW,New South Wales,2720,Australia,Australia,1953-01-23
73,9915,Female,Ebony Buxton,Seppings,WA,Western Australia,6330,Australia,Australia,1991-11-10
74,10039,Female,Brianna Hann,Nikenbah,QLD,Queensland,4655,Australia,Australia,1947-10-22
75,10189,Female,Alexis Birchell,Forest Reefs,NSW,New South Wales,2798,Australia,Australia,1962-04-07
76,10276,Male,Angus Bardolph,Bateau Bay,NSW,New South Wales,2261,Australia,Australia,1972-11-01
77,10299,Male,Anthony Macvitie,Beelbangera,NSW,New South Wales,2680,Australia,Australia,1937-05-27
78,10332,Male,James Burnage,Palmyra,WA,Western Australia,6157,Australia,Australia,1937-03-26
79,10393,Male,Nicholas Moncrieff,Rosenthal Heights,QLD,Queensland,4370,Australia,Australia,1981-11-29
80,10395,Male,Cameron Dillon,Stratherne,WA,Western Australia,6309,Australia,Australia,1996-02-25
81,10481,Female,Piper Maudsley,Cells River,NSW,New South Wales,2324,Australia,Australia,1977-04-17
82,10504,Male,Daniel Rusconi,South Datatine,WA,Western Australia,6317,Australia,Australia,1980-10-22
83,10717,Male,Harrison Ingram,Maya,WA,Western Australia,6614,Australia,Australia,1981-06-16
84,11035,Female,Makayla Meldrum,Kings Forest,NSW,New South Wales,2487,Australia,Australia,1939-12-08
85,11090,Female,Scarlett Scollen,Silverwater,NSW,New South Wales,2128,Australia,Australia,1953-01-20
86,11587,Male,Andrew Fenbury,York,WA,Western Australia,6302,Australia,Australia,1977-11-09
87,11736,Female,Summer Brownrigg,Yarrabilba,QLD,Queensland,4207,Australia,Australia,1991-01-22
88,12084,Male,Toby Chauvel,Galga,SA,South Australia,5308,Australia,Australia,1958-07-20
89,12160,Male,Jett Creal,Oakhurst,NSW,New South Wales,2761,Australia,Australia,1956-09-05
90,12162,Female,Eva Lavarack,Whittington,VIC,Victoria,3219,Australia,Australia,1954-07-30
91,12207,Male,Aiden Jull,Ogmore,QLD,Queensland,4706,Australia,Australia,1955-11-30
92,12256,Female,Lilly Lynn,Rothbury,NSW,New South Wales,2320,Australia,Australia,1991-03-07
93,12365,Female,Natalie Lyon,Steeple Flat,NSW,New South Wales,2631,Australia,Australia,1958-04-06
94,12385,Female,Lily Gribble,Overland Corner,SA,South Australia,5330,Australia,Australia,1981-06-10
95,12392,Female,Laura Waterhouse,Greenhill,SA,South Australia,5140,Australia,Australia,1957-03-08
96,12649,Female,Rose Raven,Noble Park North,VIC,Victoria,3174,Australia,Australia,1965-12-11
97,12729,Male,Xavier Sturdee,Stannum,NSW,New South Wales,2371,Australia,Australia,1937-10-14
98,12810,Male,Patrick Newbigin,Deer Park,VIC,Victoria,3023,Australia,Australia,1957-06-24
99,12859,Male,Koby Rayment,Nabawa,WA,Western Australia,6532,Australia,Australia,1942-04-29
100,12868,Male,Nathan Greville,Mallala,SA,South Australia,5502,Australia,Australia,1961-03-12
101,13045,Female,Abbey Storkey,Blue Mountain Heights,QLD,Queensland,4350,Australia,Australia,1957-10-19
102,13071,Female,Claudia Fuller,Cuballing,WA,Western Australia,6311,Australia,Australia,1973-06-28
103,13232,Female,Maya Coates,Unley Bc,SA,South Australia,5061,Australia,Australia,1985-08-12
104,13365,Male,Mitchell Cutlack,Moonem,NSW,New South Wales,2471,Australia,Australia,1961-01-02
105,13607,Female,Gemma Maum,Mambray Creek,SA,South Australia,5495,Australia,Australia,1954-09-21
106,14069,Male,Jacob Gairdner,Rob Roy,NSW,New South Wales,2360,Australia,Australia,1949-05-24
107,14180,Female,Ava Lockyer,Kalgoorlie,WA,Western Australia,6430,Australia,Australia,1998-05-14
108,14275,Female,Dakota Dunshea,Bentley,NSW,New South Wales,2480,Australia,Australia,1979-05-02
109,14906,Female,Grace Houghton,Boyer,TAS,Tasmania,7140,Australia,Australia,1982-11-16
110,14962,Female,Mackenzie Newell,Crestwood,NSW,New South Wales,2153,Australia,Australia,1936-04-05
111,14988,Female,Emily Thirkell,Wyndham Vale,VIC,Victoria,3024,Australia,Australia,1958-07-24
112,15109,Female,Sara Marsden,Whale Beach,NSW,New South Wales,2107,Australia,Australia,1999-08-18
113,15385,Male,Harry Morgans,Doongin,WA,Western Australia,6409,Australia,Australia,1995-05-11
114,15391,Female,Elizabeth Horsley,Marraweeney,VIC,Victoria,3669,Australia,Australia,1989-01-25
115,15569,Female,Chelsea Weekes,Colac,VIC,Victoria,3250,Australia,Australia,1983-09-08
116,15718,Female,Natalie Tennant,Dakenba,QLD,Queensland,4715,Australia,Australia,1957-02-20
117,16193,Female,Isabelle Beggs,Altona,SA,South Australia,5351,Australia,Australia,1964-05-10
118,16282,Female,Evie Kirkhope,Reids Flat,NSW,New South Wales,2586,Australia,Australia,2000-05-11
119,16716,Female,Abby Frater,Kayuga,NSW,New South Wales,2333,Australia,Australia,1987-12-16
120,17412,Male,Mitchell Kwok,Victoria Park,WA,Western Australia,6100,Australia,Australia,1969-08-31
121,17811,Female,Alicia Hoy,Wattle Glen,VIC,Victoria,3096,Australia,Australia,1985-10-15
122,18067,Male,Rory Koerstz,Mount Mckenzie,SA,South Australia,5353,Australia,Australia,1941-10-26
123,18263,Male,Callum Semmens,Rural View,QLD,Queensland,4740,Australia,Australia,1978-06-01
124,18309,Male,Michael Vogt,Fyans Creek,VIC,Victoria,3381,Australia,Australia,1992-01-07
125,18470,Male,Zac Pryor,Gosford,NSW,New South Wales,2250,Australia,Australia,1969-03-12
126,18493,Male,George Kevin,Tascott,NSW,New South Wales,2250,Australia,Australia,1994-09-27
127,18714,Male,Ashton Aitken,Pinwernying,WA,Western Australia,6317,Australia,Australia,1972-08-13
128,18887,Female,Zara Castleton,Boorolite,VIC,Victoria,3723,Australia,Australia,1978-11-25
129,19082,Male,Matthew Denman,Ransome,QLD,Queensland,4154,Australia,Australia,1939-04-06
130,19207,Male,Luke Casimaty,Kurraca,VIC,Victoria,3518,Australia,Australia,1991-01-19
131,19404,Male,Cody O'Hea,Wynnum,QLD,Queensland,4178,Australia,Australia,1997-06-10
132,19534,Female,Leah Martin,Tooborac,VIC,Victoria,3522,Australia,Australia,1964-12-13
133,19579,Female,Ava Reye,Barcaldine,QLD,Queensland,4725,Australia,Australia,1949-10-16
134,19726,Female,Victoria Daly,Watanobbi,NSW,New South Wales,2259,Australia,Australia,1973-01-28
135,19732,Female,Olivia Moresby,Wappilka,SA,South Australia,5332,Australia,Australia,1981-08-31
136,19753,Female,Alyssa Solander,Howth,TAS,Tasmania,7316,Australia,Australia,1995-10-21
137,19916,Male,Hunter Samuel,Little Plain,NSW,New South Wales,2360,Australia,Australia,1991-05-13
138,20069,Male,Jesse Parry-Okeden,Gwindinup,WA,Western Australia,6237,Australia,Australia,1980-11-24
139,20092,Female,Victoria Fitzsimmons,Cambridge Gardens,NSW,New South Wales,2747,Australia,Australia,1947-05-03
140,20237,Male,Riley Montefiore,Williamstown,VIC,Victoria,3016,Australia,Australia,1986-07-14
141,20623,Female,Eva Rendall,Carlyle,VIC,Victoria,3685,Australia,Australia,1994-03-11
142,20802,Male,Ben Whitworth,Polda,SA,South Australia,5670,Australia,Australia,1945-07-07
143,20946,Female,Taylah Walstab,Winthrop,WA,Western Australia,6150,Australia,Australia,1999-11-04
144,21203,Male,Tristan Dobie,Chartwell,VIC,Victoria,3030,Australia,Australia,1960-02-18
145,21387,Male,Christian Hughes,Cremorne,NSW,New South Wales,2090,Australia,Australia,1970-01-26
146,21424,Male,Justin Tickell,Heytesbury Lower,VIC,Victoria,3268,Australia,Australia,1940-07-29
147,21460,Female,Kayla De Beuzeville,Glenlynn,WA,Western Australia,6256,Australia,Australia,1957-11-01
148,21523,Male,Jayden Rennie,Swanhaven,NSW,New South Wales,2540,Australia,Australia,1969-12-06
149,21575,Male,Zac Chumleigh,Craigie,WA,Western Australia,6025,Australia,Australia,1991-12-29
150,21654,Female,Amber Monger,Parliament House,SA,South Australia,5000,Australia,Australia,1950-02-03
151,21819,Female,Matilda Blacklock,Cleveland,TAS,Tasmania,7211,Australia,Australia,2000-06-18
152,21870,Female,Summer Gramp,Beltana,SA,South Australia,5730,Australia,Australia,1991-11-23
153,22158,Male,Will Parer,Church Point,NSW,New South Wales,2105,Australia,Australia,1996-12-10
154,22384,Male,Jaxon Cox,Pearce,ACT,Australian Capital Territory,2607,Australia,Australia,1951-01-24
155,22540,Male,Connor Ruwolt,Bandya,WA,Western Australia,6440,Australia,Australia,1989-06-12
156,22775,Male,Flynn Campion,Needles,TAS,Tasmania,7304,Australia,Australia,1958-08-27
157,22826,Male,Edward Putilin,Ashfield,QLD,Queensland,4670,Australia,Australia,1976-09-25
158,23128,Male,Zane Sinclaire,Summerlands,VIC,Victoria,3922,Australia,Australia,2000-01-02
159,23203,Female,Gemma Philipp,Madora Bay,WA,Western Australia,6210,Australia,Australia,1998-08-11
160,23267,Female,Gabrielle Zinnbauer,Flinders View,QLD,Queensland,4305,Australia,Australia,1954-04-18
161,23320,Female,Samantha Weigel,Wittenoom,WA,Western Australia,6751,Australia,Australia,1960-04-15
162,23431,Female,Grace Scarf,Sheep Hills,VIC,Victoria,3392,Australia,Australia,1970-10-27
163,23599,Female,Maddison Blanc,Forresters Beach,NSW,New South Wales,2260,Australia,Australia,1989-10-12
164,23854,Male,Ali Wroblewski,Murrawombie,NSW,New South Wales,2825,Australia,Australia,1943-01-02
165,24069,Male,Edward Carron,Ulmarra,NSW,New South Wales,2462,Australia,Australia,1985-05-20
166,24230,Female,Zoe Dadswell,Davoren Park South,SA,South Australia,5113,Australia,Australia,1979-10-26
167,24575,Female,Stella O'Mahony,Placid Hills,QLD,Queensland,4343,Australia,Australia,2000-06-07
168,24920,Female,Natalie Robey,Corny Point,SA,South Australia,5575,Australia,Australia,1938-04-17
169,25308,Female,Angelina Kates,West Wiangaree,NSW,New South Wales,2474,Australia,Australia,1987-03-12
170,25771,Female,Mikayla Shenton,Boolcarroll,NSW,New South Wales,2388,Australia,Australia,1959-07-26
171,25864,Male,Zane Corkill,Shirley,VIC,Victoria,3373,Australia,Australia,1995-05-05
172,25935,Male,Charlie D'Arcy,Burnt Yards,NSW,New South Wales,2792,Australia,Australia,1975-01-13
173,26458,Male,George Creer,Westbury,VIC,Victoria,3825,Australia,Australia,1979-04-28
174,26477,Male,Caleb Willshire,Morisset,NSW,New South Wales,2264,Australia,Australia,1959-11-05
175,26642,Male,Noah Moloney,Elizabeth Beach,NSW,New South Wales,2428,Australia,Australia,1978-09-30
176,26728,Female,Gemma Allan,Marrickville South,NSW,New South Wales,2204,Australia,Australia,1979-01-18
177,26906,Male,Xavier McPhee,Clemton Park,NSW,New South Wales,2206,Australia,Australia,1974-06-16
178,26914,Female,Amelia England,Mount Cottrell,VIC,Victoria,3024,Australia,Australia,1940-10-10
